ticker,shortName,sector,marketCap,previousClose,open,dayHigh,dayLow,volume,averageVolume,beta,trailingPE,forwardPE,priceToBook,fiftyTwoWeekHigh,fiftyTwoWeekLow,dividendYield,returnOnEquity
ROP,"Roper Technologies, Inc.",Technology,60104114176,563.03,561.62,564.155,558.76,437133,556629,1.02,39.25773,27.923576,3.0636652,595.17,499.47,0.59,0.081520006
ROST,"Ross Stores, Inc.",Consumer Cyclical,46058143744,138.33,138.675,140.99,138.675,2626061,3268022,1.116,22.211357,21.049328,8.267967,163.6,122.36,1.17,0.39566
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,95589122048,352.8,351.63,354.34,348.68,2415919,2237903,2.177,28.664495,24.63261,12.008324,355.91,130.08,0.85,0.48519
SPGI,S&P Global Inc.,Financial Services,162667724800,534.95,533.33,535.38,530.04,877314,1102624,1.187,41.66614,31.553242,4.8747783,545.39,427.14,0.72,0.11241
CRM,"Salesforce, Inc.",Technology,258359001088,269.11,269.5,270.34,266.59,3617296,7323939,1.366,42.358932,24.281221,4.2675996,369.0,230.0,0.62,0.10312
SBAC,SBA Communications Corporation,Real Estate,24363153408,233.92,232.21,233.41,226.46,580300,722983,0.775,29.993387,24.727371,-4.927955,252.64,192.55,1.9,
SLB,Schlumberger N.V.,Energy,53700120576,35.47,35.65,36.185,35.56,10063218,16029104,1.017,12.162162,9.809264,2.3960068,48.57,31.11,3.21,0.19224001
STX,Seagate Technology Holdings PLC,Technology,31930169344,150.89,151.48,152.04,150.01,2581651,4201881,1.47,21.648922,15.511341,-38.52023,153.88,63.19,1.91,
SRE,DBA Sempra,Utilities,52375769088,80.82,80.72,80.735,79.82,2973048,3668183,0.637,17.650549,15.624514,1.7024208,95.77,61.9,3.19,0.09709
NOW,"ServiceNow, Inc.",Technology,204561858560,968.79,976.0,995.5948,975.98,1291715,1364250,0.946,124.14987,59.026943,18.712034,1198.09,678.66,,0.16951
SHW,Sherwin-Williams Company (The),Basic Materials,83815776256,340.1,338.03,340.6,334.32,1912969,1588252,1.182,33.382324,26.3036,18.973867,400.42,308.84,0.93,0.62431
SPG,"Simon Property Group, Inc.",Real Estate,62333534208,167.11,166.78,167.52,165.1,1090166,1586811,1.461,26.31847,24.37758,21.036018,190.14,136.34,5.03,0.67307
SWKS,"Skyworks Solutions, Inc.",Technology,10707200000,71.53,72.19,72.32,71.11,2120183,3271214,1.167,27.859375,11.14375,1.844133,120.07,47.93,3.91,0.06701
SJM,The J.M. Smucker Company,Consumer Defensive,11596550144,109.02,108.41,109.97,107.55,1197590,1980970,0.292,,10.322887,1.9018791,125.42,93.3,4.04,-0.17868
SW,Smurfit WestRock plc,Consumer Cyclical,25333288960,48.85,48.81,49.015,48.18,2509389,3467760,1.002,59.182926,13.443213,1.4140443,56.986,37.01,3.55,0.04226
SNA,Snap-On Incorporated,Industrials,17032914944,330.27,329.42,330.4331,326.225,255494,345083,0.744,17.40565,16.229124,2.9800224,373.9,266.56,2.59,0.18558
SOLV,Solventum Corporation,Healthcare,12763167744,74.75,74.76,74.76,73.655,399539,942360,,33.995388,13.339963,3.91249,85.92,54.26,,0.10657
SO,Southern Company (The),Utilities,103747919872,95.35,95.2,95.3221,93.96,4740552,5281109,0.365,22.613909,21.828703,3.0627823,96.44,80.46,3.1,0.12244
LUV,Southwest Airlines Company,Industrials,17079113728,33.21,33.0,33.06,32.125,13354628,12062585,1.204,50.8125,20.45283,2.1348388,37.96,23.58,2.17,0.04246
SWK,"Stanley Black & Decker, Inc.",Industrials,11437931520,73.9,73.85,74.925,73.1,2910995,2608919,1.172,31.326273,13.466303,1.2934322,110.88,53.91,4.49,0.04032
SBUX,Starbucks Corporation,Consumer Cyclical,107298988032,94.42,94.94,95.74,93.46,10318458,9850362,1.004,34.311356,25.180107,-13.961842,117.46,72.72,2.58,
STT,State Street Corporation,Financial Services,32111443968,112.93,112.67,113.0,111.83,899427,2011321,1.474,12.634831,12.039614,1.35218,113.72,72.81,2.98,0.109469995
STLD,"Steel Dynamics, Inc.",Basic Materials,19332423680,130.83,130.52,131.39,129.555,996579,1417122,1.381,18.900581,12.970618,2.180009,155.56,103.17,1.53,0.11686
STE,STERIS plc (Ireland),Healthcare,22283982848,230.46,229.61,230.56,226.235,271419,673027,0.924,36.834145,22.721163,3.3722365,252.79,200.98,0.99,0.09458999
SYK,Stryker Corporation,Healthcare,153129697280,403.53,402.59,404.14,399.25,689967,1253293,0.922,54.294037,29.614931,7.3162675,406.19,314.93,0.83,0.14259
SMCI,"Super Micro Computer, Inc.",Technology,35838918656,54.47,52.145,60.08,55.3,70631071,45654349,1.425,32.635868,14.162737,5.6173997,72.445,17.25,,0.20062
SYF,Synchrony Financial,Financial Services,27111866368,72.9,73.04,73.28,72.54,2102554,3508239,1.452,8.854193,11.262752,1.7230617,73.42,40.545,1.65,0.20233
SNPS,"Synopsys, Inc.",Technology,109662625792,601.55,609.66,607.71,588.37,1728091,1660260,1.123,68.43303,39.85407,9.2725935,618.49,365.74,,0.15551
SYY,Sysco Corporation,Consumer Defensive,38949822464,80.3,80.03,80.93,79.8701,3616027,2828047,0.817,20.762274,16.3313,20.264816,82.23,67.12,2.69,0.93613
TMUS,"T-Mobile US, Inc.",Communication Services,268063801344,243.55,242.6584,242.955,237.28,3700511,4468806,0.611,22.491974,22.323336,4.3947306,276.49,173.74,1.45,0.19743
TROW,"T. Rowe Price Group, Inc.",Financial Services,23353495552,106.93,107.64,107.07,105.2121,1306453,1607309,1.506,12.031781,11.336898,2.2542639,125.81,77.85,4.75,0.18447
TTWO,"Take-Two Interactive Software, ",Communication Services,41350754304,224.75,227.875,228.66,224.4122,1374780,2306463,1.035,,28.839287,18.730843,245.08,135.24,,-1.1476101
TPR,"Tapestry, Inc.",Consumer Cyclical,22933129216,108.34,108.67,110.44,108.52,2318562,3872777,1.485,29.057894,23.197477,15.35317,110.44,35.23,1.29,0.40273
TRGP,"Targa Resources, Inc.",Energy,36297064448,165.6,167.27,168.6775,165.99,782204,1868022,1.077,30.814,20.256659,14.8425455,218.51,122.56,2.42,0.41976002
TGT,Target Corporation,Consumer Defensive,48358174720,106.05,106.22,106.795,105.25,3042761,6673350,1.214,11.695604,10.126546,3.2353477,167.4,87.35,4.24,0.29076
TEL,TE Connectivity plc,Technology,61856198656,208.06,206.73,210.05,205.76,1874260,1807281,1.221,43.074074,23.285873,5.0021505,210.05,116.3,1.36,0.11512
TDY,Teledyne Technologies Incorpora,Technology,26098757632,555.89,556.0,561.745,552.33,387474,389788,1.044,30.737307,25.953403,2.5441027,570.56,397.78,,0.08732
TER,"Teradyne, Inc.",Technology,14620679168,90.15,91.755,92.32,90.79,3502510,3147060,1.695,25.818697,21.444706,5.234622,144.16,65.77,0.53,0.21551001
TSLA,"Tesla, Inc.",Consumer Cyclical,1050174226432,316.06,318.21,330.48,315.69,109818684,109077278,2.398,193.80357,100.49074,13.576998,488.54,182.0,,0.08177
TXN,Texas Instruments Incorporated,Technology,172028248064,184.99,185.7,190.54,187.7501,8538085,6868732,1.016,35.910816,32.185375,10.48767,221.69,139.95,2.94,0.29990998
TPL,Texas Pacific Land Corporation,Energy,22511306752,979.29,990.2,1001.475,964.19,123197,145973,1.092,49.024597,13.355717,18.610195,1769.14,736.75,0.65,0.39523998
TXT,Textron Inc.,Industrials,13999783936,79.5,80.02,80.24,78.355,1961078,1561136,1.169,17.693693,11.725373,1.8829393,93.98,57.7,0.1,0.114250004
TMO,Thermo Fisher Scientific Inc,Healthcare,183069491200,478.32,475.44,487.11,474.89,3412147,2928903,0.772,28.0,20.64538,3.6317344,627.88,385.46,0.36,0.13418001
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,139887591424,126.44,126.34,127.13,124.85,6114368,5281749,0.881,29.503529,27.258696,16.455381,135.85,107.71,1.34,0.60356
TKO,"TKO Group Holdings, Inc.",Communication Services,13957569536,170.05,170.02,171.01,167.89,534843,939585,,87.11224,52.697533,3.3529055,182.6,102.46,0.89,0.043169998
TTD,"The Trade Desk, Inc.",Communication Services,43250302976,86.14,86.6,88.65,86.435,7494777,11149126,1.362,107.87805,45.834198,15.999277,141.53,42.96,,0.16878
TSCO,Tractor Supply Company,Consumer Cyclical,31456919552,59.33,59.0,59.2068,57.78,7398157,6074278,0.748,29.201006,5.221024,12.374361,63.99,46.85,1.55,0.45345002
TT,Trane Technologies plc,Industrials,105384927232,472.07,473.79,476.185,469.415,1209811,1278091,1.156,38.924217,37.354942,14.098518,476.19,298.15,0.8,0.38632
TDG,Transdigm Group Incorporated,Industrials,90226270208,1607.45,1617.45,1611.275,1597.7291,119134,268347,1.039,54.306625,36.94549,-15.92614,1617.45,1176.31,,
TRV,"The Travelers Companies, Inc.",Financial Services,57388908544,261.05,260.0,260.235,254.25,1271224,1232309,0.519,11.274215,11.995765,1.9439044,277.83,206.43,1.69,0.19294001
TRMB,Trimble Inc.,Technology,20296597504,85.24,85.31,86.42,84.675,2742521,1471391,1.674,13.87765,28.54698,3.7236276,86.42,48.65,,0.30996
TFC,Truist Financial Corporation,Financial Services,59047157760,45.65,45.59,45.7,44.83,5655945,7757321,0.83,12.219512,11.41519,0.98654413,49.06,33.56,4.56,0.08128
TYL,"Tyler Technologies, Inc.",Technology,23996504064,556.46,558.55,557.76,552.44,572317,279934,0.848,84.0574,51.38135,6.829658,661.31,513.52,,0.08871
TSN,"Tyson Foods, Inc.",Consumer Defensive,19040706560,53.94,53.63,53.92,53.06,2213767,3000613,0.577,20.797667,15.271429,1.0348299,66.88,52.71,3.71,0.051149998
USB,U.S. Bancorp,Financial Services,71809597440,46.32,46.25,46.36,45.8447,6596703,10162534,1.015,11.026317,10.644342,1.3144536,53.98,35.18,4.32,0.11667
UBER,"Uber Technologies, Inc.",Technology,189460004864,91.29,91.31,92.35,90.24,11515003,21334062,1.395,15.8668995,38.38983,8.624464,97.715,54.84,,0.69382006
UDR,"UDR, Inc.",Real Estate,15042141184,40.41,40.08,40.465,39.86,1261216,2148931,0.819,110.833336,84.89362,4.018936,47.55,36.61,4.26,0.02848
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,23338903552,514.95,514.96,520.72,513.55,528439,766683,1.077,20.291912,22.705292,9.623953,520.87,309.01,,0.50435
UNP,Union Pacific Corporation,Industrials,135949402112,224.74,225.22,230.97,224.82,6267887,3344609,1.049,19.916594,18.929811,8.361541,258.07,204.66,2.46,0.42355
UAL,"United Airlines Holdings, Inc.",Industrials,29922549760,91.11,89.5,93.08,90.6,4996821,7695291,1.42,9.270812,7.645161,2.2380145,116.0,37.02,,0.27708
UPS,"United Parcel Service, Inc.",Industrials,86017744896,103.56,103.06,103.37,101.29,5989027,5214757,1.186,14.829198,11.530079,5.4940777,145.01,90.55,6.33,0.35908002
URI,"United Rentals, Inc.",Industrials,57872338944,890.0,890.0,903.605,887.2,806431,569580,1.695,23.283976,19.194622,6.4161897,903.61,525.91,0.8,0.29302
UNH,UnitedHealth Group Incorporated,Healthcare,255922323456,281.06,283.5,285.0,279.74,14375438,18734370,0.457,11.809125,9.4354515,2.7013416,630.73,248.88,3.15,0.22700001
UHS,"Universal Health Services, Inc.",Healthcare,9985039360,155.6,156.29,158.36,154.1,1472263,870919,1.285,8.705056,8.532489,1.4715099,243.25,152.96,0.51,0.18473
VLO,Valero Energy Corporation,Energy,44966875136,141.97,142.87,144.965,142.725,1778950,3185359,0.967,58.366936,15.000001,1.8675731,167.78,99.0,3.18,0.02757
VTR,"Ventas, Inc.",Real Estate,29443258368,66.46,66.29,66.48,65.15,1321292,3204791,0.89,197.66667,407.68753,2.5646772,71.36,54.28,2.89,0.01381
VLTO,Veralto Corp,Industrials,25554468864,103.28,102.51,103.61,101.79,2080577,1231796,,29.457142,27.493334,11.097955,115.0,83.865,0.43,0.46036
VRSN,"VeriSign, Inc.",Technology,28578533376,305.79,305.0,310.6,304.84,476534,772911,0.778,36.513126,35.373413,-14.364584,310.6,172.49,1.01,
VRSK,"Verisk Analytics, Inc.",Industrials,41186045952,297.96,297.0,297.45,294.08,616761,842572,0.862,43.362297,40.388203,334.96017,322.92,257.59,0.6,4.68222
VZ,Verizon Communications Inc.,Communication Services,178603311104,43.08,43.02,42.91,42.24,18231551,17708172,0.372,9.851163,8.955603,1.7329406,47.36,37.59,6.29,0.18454
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,118339756032,469.65,467.85,471.0,460.73,2103938,1529993,0.413,,24.55141,7.1784844,519.88,377.85,,-0.05644
VTRS,Viatris Inc.,Healthcare,10868277248,9.41,9.355,9.38,9.22,5364688,13054722,0.889,,3.4681647,0.7016215,13.55,6.85,5.1,-0.21254
VICI,VICI Properties Inc.,Real Estate,34332510208,33.38,33.29,33.43,32.485,4048031,5892073,0.721,12.996,11.901099,1.2902074,34.29,27.98,5.18,0.1012
V,Visa Inc.,Financial Services,694410674176,357.04,356.38,358.32,354.73,3918488,6193303,0.922,35.68976,28.0782,17.952124,375.51,254.51,0.66,0.50655
VST,Vistra Corp.,Utilities,66468352000,192.2,193.11,196.27,190.51,3204199,5597880,1.279,31.04279,28.388407,28.35553,207.12,66.5,0.47,0.41676
VMC,Vulcan Materials Company (Holdi,Basic Materials,35682611200,274.83,274.0,276.3975,268.67,1018815,1004781,0.817,37.9368,29.747795,4.3866825,298.31,215.08,0.71,0.120749995
WRB,W.R. Berkley Corporation,Financial Services,25798178816,68.99,68.82,68.87,67.8075,2013337,1824578,0.417,15.454545,15.632184,2.893617,76.38,53.65,0.52,
GWW,"W.W. Grainger, Inc.",Industrials,50362855424,1054.02,1051.93,1054.46,1042.844,110730,264434,1.18,26.881283,24.895987,14.482649,1227.66,893.99,0.86,0.5416
WAB,Westinghouse Air Brake Technolo,Industrials,33679448064,197.21,198.79,199.195,195.44,1354703,927511,1.119,29.316965,23.204947,3.1171975,216.1,147.66,0.51,0.109060004
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,10066475008,11.61,11.59,11.63,11.59,7170449,8219732,0.748,,7.9115644,1.4008672,13.25,8.08,8.61,-0.69577
WMT,Walmart Inc.,Consumer Defensive,778968825856,97.47,97.28,98.12,97.08,12284533,16465832,0.677,41.713676,35.88603,9.303279,105.3,66.67,0.96,0.21783
DIS,Walt Disney Company (The),Communication Services,216395169792,121.47,121.03,121.4,119.8889,4726305,9714114,1.561,24.565306,23.372816,2.0777092,124.69,80.1,0.82,0.08894
WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,33894758400,13.49,13.52,13.865,13.49,95791942,58087649,1.544,,-105.38462,1.0013156,13.87,6.64,,-0.27281
WM,"Waste Management, Inc.",Industrials,91708784640,229.67,229.0,229.96,227.2,1427501,1637421,0.642,34.32229,28.240396,10.6009865,242.58,199.69,1.44,0.34013999
WAT,Waters Corporation,Healthcare,17993170944,302.95,300.11,305.87,299.475,683245,692175,1.101,27.41251,23.384377,9.167146,423.56,279.62,,0.40822
WEC,"WEC Energy Group, Inc.",Utilities,34306906112,109.52,109.29,109.07,107.41,1316085,2059745,0.424,20.955166,20.59387,2.6439412,111.0,83.82,3.26,0.12579
WFC,Wells Fargo & Company,Financial Services,271541698560,84.32,84.32,84.45,82.71,10622873,17385506,1.157,14.497382,15.131148,1.6262088,84.83,50.15,1.9,0.114980005
WELL,Welltower Inc.,Real Estate,103514054656,161.56,161.2,161.23,158.24,1696313,2888334,0.904,89.9375,86.97252,3.0387788,162.26,110.74,1.66,0.0348
WST,"West Pharmaceutical Services, I",Healthcare,18534825984,263.51,261.03,262.1,256.67,875003,716701,1.088,38.58683,34.276596,6.327107,352.33,187.43,0.33,0.17716
WDC,Western Digital Corporation,Technology,24067350528,68.82,69.4,69.56,68.665,4380195,6515921,1.592,23.625,7.830306,4.6504655,69.72,28.83,0.58,0.13558
WY,Weyerhaeuser Company,Real Estate,18681090048,26.47,26.23,26.385,25.84,4401862,4434390,1.152,68.10526,30.093021,1.9614975,34.03,24.1,3.17,0.02851
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,23151912960,181.71,182.88,188.905,181.32,1232377,1626113,1.455,21.760695,23.152521,10.711927,219.98,125.33,1.45,0.50154996
WMB,"Williams Companies, Inc. (The)",Energy,70220283904,57.82,58.14,58.23,57.23,5337428,7821500,0.676,30.919353,27.516747,5.639341,63.45,40.41,3.46,0.16197
WTW,Willis Towers Watson Public Lim,Financial Services,30671990784,313.11,311.96,312.42,308.84,605657,636262,0.687,,17.100609,3.7736197,344.14,271.01,1.18,-0.00484
WDAY,"Workday, Inc.",Technology,63460511744,241.74,240.61,241.5,237.64,1524394,2201063,1.21,132.98325,28.679516,7.1260924,294.0,199.81,,0.05702
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,11633723392,109.44,109.67,111.44,109.19,1386772,2253134,1.364,29.751335,22.165339,-32.34593,112.36,65.25,0.91,
XEL,Xcel Energy Inc.,Utilities,41030778880,72.66,72.9,72.78,71.01,3280433,3365378,0.372,20.923529,18.574413,2.0710938,73.56,56.69,3.14,0.102589995
XYL,Xylem Inc.,Industrials,32185602048,132.57,132.55,132.99,131.89,822561,1225768,1.115,35.649593,27.84421,2.9763484,143.5,100.47,1.21,0.08505
YUM,"Yum! Brands, Inc.",Consumer Cyclical,40107565056,146.7,145.84,146.59,144.26,1333253,1870562,0.733,28.743027,23.731907,-5.139997,163.3,122.13,1.94,
ZBRA,Zebra Technologies Corporation,Technology,17020426240,335.69,337.8,337.8,334.37,287091,485814,1.751,31.664145,20.86596,4.720193,427.76,205.73,,0.16159001
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,19300042752,97.55,96.91,97.155,95.74,1016350,2233837,0.71,21.714933,11.160465,1.5324191,116.71,89.22,0.98,0.07318
ZTS,Zoetis Inc.,Healthcare,67115106304,152.12,152.27,152.47,150.35,1870767,3084704,0.911,27.06463,23.777601,14.445189,200.33,139.7,1.31,0.52085996
